UE : GI-4-GP SIM-S1,,,,,,,
EC : GI-4-PSF-S1,Simulation de flux (Projet),,,,,,
ECTS,2,,,,,,
Nbre H,22,,,,,,
,,,,,,,Niveau de la compétence
,Compétence 7,"Observer, mesurer, analyser et interpréter une activité ou un système à partir de données",,,,,2
,Compétence 8,"Modéliser, concevoir un système d'informations, de décision et de production de biens et de services ",,,,,3
,Compétence 9,"Evaluer, prototyper ou simuler un système",,,,,3
,Compétence 10,Dimensionner la partie matérielle et/ou logicielle d'un système ,,,,,2
,Compétence 15,"Localiser et affecter les activités de production, de stockage et transport aux différents membres de la chaîne logistique",,,,,2
,,,,,,,
CAPACITES,,CONNAISSANCES,,,,,
"Appliquer une démarche « projet de simulation » (1,2,3,6,7,8,9,10,15)",,Comportement physique d'une chaîne d' Actionneurs et  de Capteurs () ,,,,,
" Tracer les flux (1,2,7,9)",," Lois de distribution de variables aléatoires, comportement stochastiques de flux discrets () ",,,,,
" Analyser les flux moyens (1,2,7,9,10)",, Condition du régime permanent et instabilité ().,,,,,
" Trouver le goulot d’étranglement (1,2,7,9,10)",,,,,,,
" Rendre les stocks fonctionnels (1,2,7,9,10,15)",,,,,,,
"Dimensionner une chaîne de production (1,2,7,9,10,15)",,,,,,,
" Proposer des modifications pour optimiser les flux (1,2,7,9,10,15)",,,,,,,
 Mettre en œuvre une démarche expérimentale pour valider les  modifications proposées (3),,,,,,,
