UE : GI-5-PRI 1A-S1,,,,,,,
EC : GI-5-PROINDUS-P1-S1,Projet industriel P1,,,,,,
ECTS,2,,,,,,
Nbre H,24,,,,,,
,,,,,,,Niveau de la compétence
,Compétence 7,"Observer, mesurer, analyser et interpréter une activité ou un système à partir de données",,,,,C
,Compétence 8,"Modéliser, concevoir un système d'informations, de décision et de production de biens et de services ",,,,,C
,Compétence 9,"Evaluer, prototyper ou simuler un système",,,,,C
,Compétence 10,Dimensionner la partie matérielle et/ou logicielle d'un système ,,,,,C
,Compétence 12,"Choisir des outils de production adaptés, les intégrer dans un environnement et les configurer, et mettre en place un système de production ",,,,,C
,Compétence 13,Élaborer et mettre en œuvre une stratégie d’achats ,,,,,C
,Compétence 18,Faire évoluer les organisations pour répondre à de nouvelles contraintes ou opportunités ,,,,,C
,Compétence 19,Prendre en compte l'innovation technologique et méthodologique,,,,,C
,Compétence 20,"Conduire collectivement un projet : organisation, communication, animation, coordination du groupe ",,,,,C
,Compétence 21,"Piloter un projet en s'appuyant sur un plan directeur (planification, élaboration du budget, définition des indicateurs de suivi, réaliser une recette) ",,,,,C
,Compétence 22,"Identifier, analyser et maîtriser les risques inhérents à un projet ",,,,,C
,Compétence 23,"Identifier, formaliser et contractualiser les besoins d’un client, suivre leur évolution et valider leur respect (traçabilité des besoins)",,,,,C
,,,,,,,
CAPACITES,,CONNAISSANCES,,,,,
"Développer les capacités d'observation et d'analyse stratégique d'une organisation,Intégrer les aspects techniques et socio-économiques d'un projet ou d'un processus (de production, de gestion,...),Améliorer les capacités de communication et d'analyse de situation, par une identification précise de l'environnement professionnel, par la multiplication des contacts et des relations de travail dans l'entreprise, etc.

",,Organisation industriel,,,,,
,,Amélioration continue,,,,,
,,Analyse de donnée de production et dimensionnement du système,,,,,
,,Sourcing et réapprovisionnement des matières ,,,,,
