UE : GI-5-R&D1-s1,,,,,,,
EC : GI-5-RGI-S1,Recherche en Génie Industriel,,,,,,
ECTS,3,,,,,,
Nbre H,24,,,,,,
,,,,,,,Niveau de la compétence
,Compétence 1,Analyser un système (ou un problème) réel ou virtuel,,,,,M
,Compétence 2,Exploiter un modèle d’un système réel ou virtuel,,,,,M
,Compétence 3,Mettre en œuvre une démarche expérimentale,,,,,3
,Compétence 5,Traiter des données,,,,,1
,Compétence 6,"Communiquer une analyse ou une démarche scientifique avec des mises en situation adaptées à leur spécialité""",,,,,3
,Compétence 7,"Observer, mesurer, analyser et interpréter une activité ou un système à partir de données",,,,,3
,Compétence 8,"Modéliser, concevoir un système d'informations, de décision et de production de biens et de services ",,,,,3
,Compétence 9,"Evaluer, prototyper ou simuler un système",,,,,3
,Compétence 14,Piloter les approvisionnements en lien avec la politique de planification et de gestion des stocks ,,,,,M
,Compétence 15,"Localiser et affecter les activités de production, de stockage et transport aux différents membres de la chaîne logistique",,,,,M
,Compétence 19,Prendre en compte l'innovation technologique et méthodologique,,,,,3
,Compétence 20,"Conduire collectivement un projet : organisation, communication, animation, coordination du groupe ",,,,,M
,Compétence 22,"Identifier, analyser et maîtriser les risques inhérents à un projet ",,,,,M
,Compétence 28,"Travailler, apprendre, évoluer de manière autonome ",,,,,3
,Compétence 29,"Interagir avec les autres, travailler en équipe ",,,,,M
,Compétence 30,"Faire preuve de créativité, innover, entreprendre ",,,,,3
,Compétence 33,Travailler dans un contexte international et interculturel,,,,,M
,,,,,,,
CAPACITES,,CONNAISSANCES,,,,,
"Mobiliser les connaissances théoriques pertinentes pour attaquer un sujet de recherche actuel et ""state-of-the-art"".
Réaliser un état de l'art sur une question de recherche.
Comprendre et formuler une problématique de recherche sur un problème de génie industriel ouvert et encore non exploré.
Mener une démarche de recherche sur un projet long.
Rédiger un document respectant les standards rédactionnels d'un article de recherche.
Emettre des pistes de contribution au traitement d'une problématique.",,,,,,,
